Security,FB US Equity                                                    ,
Start Date,5/1/2015 0:00,
End Date,5/14/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
5/14/2021,315.94,19245724
5/13/2021,305.26,18079160
5/12/2021,302.55,24641010
5/11/2021,306.53,18920086
5/10/2021,305.97,24239170
5/7/2021,319.08,15916743
5/6/2021,320.02,19012241
5/5/2021,315.02,15577605
5/4/2021,318.36,24032557
5/3/2021,322.58,18719462
4/30/2021,325.08,26332423
4/29/2021,329.51,56526771
4/28/2021,307.1,33907210
4/27/2021,303.57,15309256
4/26/2021,303.04,16172593
4/23/2021,301.13,17559498
4/22/2021,296.52,16375350
4/21/2021,301.47,14863474
4/20/2021,302.65,16796442
4/19/2021,302.24,14553507
4/16/2021,306.18,13059163
4/15/2021,307.82,14558273
4/14/2021,302.82,17421393
4/13/2021,309.76,14036927
4/12/2021,311.54,10881935
4/9/2021,312.46,15988568
4/8/2021,313.02,20894148
4/7/2021,313.09,22855241
4/6/2021,306.26,17335246
4/5/2021,308.91,28237006
4/1/2021,298.66,17615980
3/31/2021,294.53,19498157
3/30/2021,288,17474537
3/29/2021,290.82,21718831
3/26/2021,283.02,17629185
3/25/2021,278.74,24505648
3/24/2021,282.14,18675046
3/23/2021,290.63,23000929
3/22/2021,293.54,28273073
3/19/2021,290.11,38930536
3/18/2021,278.62,18754853
3/17/2021,284.01,21315044
3/16/2021,279.28,22437665
3/15/2021,273.75,16856746
3/12/2021,268.4,20600198
3/11/2021,273.88,21833979
3/10/2021,264.9,14210318
3/9/2021,265.74,22039740
3/8/2021,255.31,18391768
3/5/2021,264.28,26820055
3/4/2021,257.64,31626463
3/3/2021,255.41,15513515
3/2/2021,259,15191722
3/1/2021,264.91,22157255
2/26/2021,257.62,26619517
2/25/2021,254.69,19053142
2/24/2021,264.31,15736123
2/23/2021,265.855,21924557
2/22/2021,260.33,17434873
2/19/2021,261.56,25622587
2/18/2021,269.39,15249134
2/17/2021,273.57,12763240
2/16/2021,273.97,15417243
2/12/2021,270.5,9097597
2/11/2021,270.39,12828572
2/10/2021,271.87,14687152
2/9/2021,269.45,14613375
2/8/2021,266.58,13755191
2/5/2021,268.1,12454367
2/4/2021,266.49,16059958
2/3/2021,266.65,14223377
2/2/2021,267.08,17320788
2/1/2021,262.01,22914255
1/29/2021,258.33,30389499
1/28/2021,265,37758844
1/27/2021,272.14,35346194
1/26/2021,282.05,19373636
1/25/2021,278.01,19086990
1/22/2021,274.5,21954042
1/21/2021,272.87,20838687
1/20/2021,267.48,25199919
1/19/2021,261.1,28028546
1/15/2021,251.36,24942930
1/14/2021,245.64,29739404
1/13/2021,251.64,19528938
1/12/2021,251.09,26449943
1/11/2021,256.84,30412286
1/8/2021,267.57,18528251
1/7/2021,268.74,15789756
1/6/2021,263.31,24354149
1/5/2021,270.97,9871557
1/4/2021,268.94,15106113
12/31/2020,273.16,12900408
12/30/2020,271.87,11803795
12/29/2020,276.78,16382995
12/28/2020,277,23299707
12/24/2020,267.4,6702033
12/23/2020,268.11,14329038
12/22/2020,267.09,17334999
12/21/2020,272.79,16553740
12/18/2020,276.4,26693249
12/17/2020,274.48,16377844
12/16/2020,275.67,15884999
12/15/2020,275.55,23979461
12/14/2020,274.19,16376880
12/11/2020,273.55,14391401
12/10/2020,277.12,20065091
12/9/2020,277.92,25189707
12/8/2020,283.4,10747650
12/7/2020,285.58,13007665
12/4/2020,279.7,10880299
12/3/2020,281.85,12921694
12/2/2020,287.52,17361624
12/1/2020,286.55,20777906
11/30/2020,276.97,16693336
11/27/2020,277.81,7808426
11/25/2020,275.59,12467009
11/24/2020,276.92,16930424
11/23/2020,268.43,20990786
11/20/2020,269.7,18122412
11/19/2020,272.94,12963658
11/18/2020,271.97,12152945
11/17/2020,275,15040297
11/16/2020,278.96,12970352
11/13/2020,276.95,10400101
11/12/2020,275.08,12914206
11/11/2020,276.48,14956950
11/10/2020,272.43,29067691
11/9/2020,278.77,25117650
11/6/2020,293.41,13890974
11/5/2020,294.68,23823633
11/4/2020,287.38,35364424
11/3/2020,265.3,17961859
11/2/2020,261.36,27165679
10/30/2020,263.11,47299002
10/29/2020,280.83,32368118
10/28/2020,267.67,23121808
10/27/2020,283.29,16287249
10/26/2020,277.11,21322925
10/23/2020,284.79,17535155
10/22/2020,278.12,16720026
10/21/2020,278.73,28998638
10/20/2020,267.56,18763246
10/19/2020,261.4,13586955
10/16/2020,265.93,16622702
10/15/2020,266.72,15416064
10/14/2020,271.82,15601154
10/13/2020,276.14,18063343
10/12/2020,275.75,31019256
10/9/2020,264.45,14107803
10/8/2020,263.76,16312762
10/7/2020,258.12,23133417
10/6/2020,258.66,18696917
10/5/2020,264.65,12822252
10/2/2020,259.94,16367597
10/1/2020,266.63,20009801
9/30/2020,261.9,20142546
9/29/2020,261.79,20215504
9/28/2020,256.82,18826254
9/25/2020,254.82,18351311
9/24/2020,249.53,20006750
9/23/2020,249.02,19641266
9/22/2020,254.75,30293103
9/21/2020,248.15,24709378
9/18/2020,252.53,28130767
9/17/2020,254.82,31281441
9/16/2020,263.52,29207594
9/15/2020,272.42,18478530
9/14/2020,266.15,24093830
9/11/2020,266.61,18913883
9/10/2020,268.09,24814669
9/9/2020,273.72,22918769
9/8/2020,271.16,24863997
9/4/2020,282.73,30333671
